Panel_markerID,Marker_ID
alfalfaRep2vsXJDY1_shared_1000570,alfalfaRep2vsXJDY1_shared_1000570
alfalfaRep2vsXJDY1_shared_1001594,alfalfaRep2vsXJDY1_shared_1001594
alfalfaRep2vsXJDY1_shared_1002130,alfalfaRep2vsXJDY1_shared_1002130
alfalfaRep2vsXJDY1_shared_1002267,alfalfaRep2vsXJDY1_shared_1002267
alfalfaRep2vsXJDY1_shared_1002341,alfalfaRep2vsXJDY1_shared_1002341
alfalfaRep2vsXJDY1_shared_1002592,alfalfaRep2vsXJDY1_shared_1002592
alfalfaRep2vsXJDY1_shared_1003110,alfalfaRep2vsXJDY1_shared_1003110
alfalfaRep2vsXJDY1_shared_1004042,alfalfaRep2vsXJDY1_shared_1004042
alfalfaRep2vsXJDY1_shared_100476,alfalfaRep2vsXJDY1_shared_100476
alfalfaRep2vsXJDY1_shared_1004816,alfalfaRep2vsXJDY1_shared_1004816
alfalfaRep2vsXJDY1_shared_1005403,alfalfaRep2vsXJDY1_shared_1005403
alfalfaRep2vsXJDY1_shared_1005967,alfalfaRep2vsXJDY1_shared_1005967
alfalfaRep2vsXJDY1_shared_1006815,alfalfaRep2vsXJDY1_shared_1006815
alfalfaRep2vsXJDY1_shared_1007403,alfalfaRep2vsXJDY1_shared_1007403
alfalfaRep2vsXJDY1_shared_1008030,alfalfaRep2vsXJDY1_shared_1008030
alfalfaRep2vsXJDY1_shared_1008695,alfalfaRep2vsXJDY1_shared_1008695
alfalfaRep2vsXJDY1_shared_1008997,alfalfaRep2vsXJDY1_shared_1008997
alfalfaRep2vsXJDY1_shared_1009379,alfalfaRep2vsXJDY1_shared_1009379
alfalfaRep2vsXJDY1_shared_1009495,alfalfaRep2vsXJDY1_shared_1009495
alfalfaRep2vsXJDY1_shared_1011329,alfalfaRep2vsXJDY1_shared_1011329
alfalfaRep2vsXJDY1_shared_1011674,alfalfaRep2vsXJDY1_shared_1011674
alfalfaRep2vsXJDY1_shared_1012956,alfalfaRep2vsXJDY1_shared_1012956
alfalfaRep2vsXJDY1_shared_1013700,alfalfaRep2vsXJDY1_shared_1013700
alfalfaRep2vsXJDY1_shared_1014138,alfalfaRep2vsXJDY1_shared_1014138
alfalfaRep2vsXJDY1_shared_1014465,alfalfaRep2vsXJDY1_shared_1014465
alfalfaRep2vsXJDY1_shared_1014780,alfalfaRep2vsXJDY1_shared_1014780
alfalfaRep2vsXJDY1_shared_10160,alfalfaRep2vsXJDY1_shared_10160
alfalfaRep2vsXJDY1_shared_1016045,alfalfaRep2vsXJDY1_shared_1016045
alfalfaRep2vsXJDY1_shared_1016892,alfalfaRep2vsXJDY1_shared_1016892
alfalfaRep2vsXJDY1_shared_1017072,alfalfaRep2vsXJDY1_shared_1017072
alfalfaRep2vsXJDY1_shared_1017118,alfalfaRep2vsXJDY1_shared_1017118
alfalfaRep2vsXJDY1_shared_1017166,alfalfaRep2vsXJDY1_shared_1017166
alfalfaRep2vsXJDY1_shared_1017248,alfalfaRep2vsXJDY1_shared_1017248
alfalfaRep2vsXJDY1_shared_1017442,alfalfaRep2vsXJDY1_shared_1017442
alfalfaRep2vsXJDY1_shared_1018298,alfalfaRep2vsXJDY1_shared_1018298
alfalfaRep2vsXJDY1_shared_1018881,alfalfaRep2vsXJDY1_shared_1018881
alfalfaRep2vsXJDY1_shared_1019165,alfalfaRep2vsXJDY1_shared_1019165
alfalfaRep2vsXJDY1_shared_1020305,alfalfaRep2vsXJDY1_shared_1020305
alfalfaRep2vsXJDY1_shared_1021847,alfalfaRep2vsXJDY1_shared_1021847
alfalfaRep2vsXJDY1_shared_1022202,alfalfaRep2vsXJDY1_shared_1022202
alfalfaRep2vsXJDY1_shared_1022688,alfalfaRep2vsXJDY1_shared_1022688
alfalfaRep2vsXJDY1_shared_1022791,alfalfaRep2vsXJDY1_shared_1022791
alfalfaRep2vsXJDY1_shared_1022844,alfalfaRep2vsXJDY1_shared_1022844
alfalfaRep2vsXJDY1_shared_1022908,alfalfaRep2vsXJDY1_shared_1022908
alfalfaRep2vsXJDY1_shared_1023967,alfalfaRep2vsXJDY1_shared_1023967
alfalfaRep2vsXJDY1_shared_1024578,alfalfaRep2vsXJDY1_shared_1024578
alfalfaRep2vsXJDY1_shared_1025493,alfalfaRep2vsXJDY1_shared_1025493
alfalfaRep2vsXJDY1_shared_1026007,alfalfaRep2vsXJDY1_shared_1026007
alfalfaRep2vsXJDY1_shared_1026103,alfalfaRep2vsXJDY1_shared_1026103
alfalfaRep2vsXJDY1_shared_102631,alfalfaRep2vsXJDY1_shared_102631
alfalfaRep2vsXJDY1_shared_1026424,alfalfaRep2vsXJDY1_shared_1026424
alfalfaRep2vsXJDY1_shared_1026956,alfalfaRep2vsXJDY1_shared_1026956
alfalfaRep2vsXJDY1_shared_1027849,alfalfaRep2vsXJDY1_shared_1027849
alfalfaRep2vsXJDY1_shared_1028218,alfalfaRep2vsXJDY1_shared_1028218
alfalfaRep2vsXJDY1_shared_1029546,alfalfaRep2vsXJDY1_shared_1029546
alfalfaRep2vsXJDY1_shared_1030959,alfalfaRep2vsXJDY1_shared_1030959
alfalfaRep2vsXJDY1_shared_1032189,alfalfaRep2vsXJDY1_shared_1032189
alfalfaRep2vsXJDY1_shared_1032836,alfalfaRep2vsXJDY1_shared_1032836
alfalfaRep2vsXJDY1_shared_103358,alfalfaRep2vsXJDY1_shared_103358
alfalfaRep2vsXJDY1_shared_1035146,alfalfaRep2vsXJDY1_shared_1035146
alfalfaRep2vsXJDY1_shared_1036227,alfalfaRep2vsXJDY1_shared_1036227
alfalfaRep2vsXJDY1_shared_1036535,alfalfaRep2vsXJDY1_shared_1036535
alfalfaRep2vsXJDY1_shared_1036941,alfalfaRep2vsXJDY1_shared_1036941
alfalfaRep2vsXJDY1_shared_1037581,alfalfaRep2vsXJDY1_shared_1037581
alfalfaRep2vsXJDY1_shared_1038027,alfalfaRep2vsXJDY1_shared_1038027
alfalfaRep2vsXJDY1_shared_1038840,alfalfaRep2vsXJDY1_shared_1038840
alfalfaRep2vsXJDY1_shared_1039061,alfalfaRep2vsXJDY1_shared_1039061
alfalfaRep2vsXJDY1_shared_1039894,alfalfaRep2vsXJDY1_shared_1039894
alfalfaRep2vsXJDY1_shared_1041813,alfalfaRep2vsXJDY1_shared_1041813
alfalfaRep2vsXJDY1_shared_1042277,alfalfaRep2vsXJDY1_shared_1042277
alfalfaRep2vsXJDY1_shared_1044083,alfalfaRep2vsXJDY1_shared_1044083
alfalfaRep2vsXJDY1_shared_1044787,alfalfaRep2vsXJDY1_shared_1044787
alfalfaRep2vsXJDY1_shared_1045205,alfalfaRep2vsXJDY1_shared_1045205
alfalfaRep2vsXJDY1_shared_1045620,alfalfaRep2vsXJDY1_shared_1045620
alfalfaRep2vsXJDY1_shared_1046435,alfalfaRep2vsXJDY1_shared_1046435
alfalfaRep2vsXJDY1_shared_1047074,alfalfaRep2vsXJDY1_shared_1047074
alfalfaRep2vsXJDY1_shared_1047423,alfalfaRep2vsXJDY1_shared_1047423
alfalfaRep2vsXJDY1_shared_1049198,alfalfaRep2vsXJDY1_shared_1049198
alfalfaRep2vsXJDY1_shared_104922,alfalfaRep2vsXJDY1_shared_104922
alfalfaRep2vsXJDY1_shared_1049878,alfalfaRep2vsXJDY1_shared_1049878
alfalfaRep2vsXJDY1_shared_1050617,alfalfaRep2vsXJDY1_shared_1050617
alfalfaRep2vsXJDY1_shared_1050854,alfalfaRep2vsXJDY1_shared_1050854
alfalfaRep2vsXJDY1_shared_1051740,alfalfaRep2vsXJDY1_shared_1051740
alfalfaRep2vsXJDY1_shared_1051858,alfalfaRep2vsXJDY1_shared_1051858
alfalfaRep2vsXJDY1_shared_1052405,alfalfaRep2vsXJDY1_shared_1052405
alfalfaRep2vsXJDY1_shared_1052926,alfalfaRep2vsXJDY1_shared_1052926
alfalfaRep2vsXJDY1_shared_1053547,alfalfaRep2vsXJDY1_shared_1053547
alfalfaRep2vsXJDY1_shared_1053674,alfalfaRep2vsXJDY1_shared_1053674
alfalfaRep2vsXJDY1_shared_1054758,alfalfaRep2vsXJDY1_shared_1054758
alfalfaRep2vsXJDY1_shared_1055341,alfalfaRep2vsXJDY1_shared_1055341
alfalfaRep2vsXJDY1_shared_1055825,alfalfaRep2vsXJDY1_shared_1055825
alfalfaRep2vsXJDY1_shared_1057047,alfalfaRep2vsXJDY1_shared_1057047
alfalfaRep2vsXJDY1_shared_10573,alfalfaRep2vsXJDY1_shared_10573
alfalfaRep2vsXJDY1_shared_1057343,alfalfaRep2vsXJDY1_shared_1057343
alfalfaRep2vsXJDY1_shared_1058203,alfalfaRep2vsXJDY1_shared_1058203
alfalfaRep2vsXJDY1_shared_1058454,alfalfaRep2vsXJDY1_shared_1058454
alfalfaRep2vsXJDY1_shared_1059411,alfalfaRep2vsXJDY1_shared_1059411
alfalfaRep2vsXJDY1_shared_1059823,alfalfaRep2vsXJDY1_shared_1059823
alfalfaRep2vsXJDY1_shared_1061422,alfalfaRep2vsXJDY1_shared_1061422
alfalfaRep2vsXJDY1_shared_1061642,alfalfaRep2vsXJDY1_shared_1061642
alfalfaRep2vsXJDY1_shared_1062887,alfalfaRep2vsXJDY1_shared_1062887
alfalfaRep2vsXJDY1_shared_1063398,alfalfaRep2vsXJDY1_shared_1063398
alfalfaRep2vsXJDY1_shared_106441,alfalfaRep2vsXJDY1_shared_106441
alfalfaRep2vsXJDY1_shared_1065071,alfalfaRep2vsXJDY1_shared_1065071
alfalfaRep2vsXJDY1_shared_1065922,alfalfaRep2vsXJDY1_shared_1065922
alfalfaRep2vsXJDY1_shared_1066534,alfalfaRep2vsXJDY1_shared_1066534
alfalfaRep2vsXJDY1_shared_1067270,alfalfaRep2vsXJDY1_shared_1067270
alfalfaRep2vsXJDY1_shared_1067967,alfalfaRep2vsXJDY1_shared_1067967
alfalfaRep2vsXJDY1_shared_1068361,alfalfaRep2vsXJDY1_shared_1068361
alfalfaRep2vsXJDY1_shared_1069773,alfalfaRep2vsXJDY1_shared_1069773
alfalfaRep2vsXJDY1_shared_1071243,alfalfaRep2vsXJDY1_shared_1071243
