Chr01_00008907,chr01_000008907
Chr01_00008984,chr01_000008984
Chr01_00175030,chr01_000175030
Chr01_00175165,chr01_000175165
Chr01_00723732,chr01_000723732
Chr01_00723781,chr01_000723781
Chr01_00723871,chr01_000723871
Chr01_00949241,chr01_000949241
Chr01_01272907,chr01_001272907
Chr01_01273044,chr01_001273044
Chr01_01328316,chr01_001328316
Chr01_01439331,chr01_001439331
Chr01_01439357,chr01_001439357
Chr01_01439376,chr01_001439376
Chr01_01450798,chr01_001450798
Chr01_01450802,chr01_001450802
Chr01_01450808,chr01_001450808
Chr01_01450867,chr01_001450867
Chr01_01450868,chr01_001450868
Chr01_01450876,chr01_001450876
Chr01_01450884,chr01_001450884
chr01_01459243,chr01_001459243
Chr01_01831908,chr01_001831908
Chr01_01974844,chr01_001974844
Chr01_01974937,chr01_001974937
Chr01_01974959,chr01_001974959
Chr01_02304148,chr01_002304148
Chr01_02446068,chr01_002446068
Chr01_02479044,chr01_002479044
Chr01_02479060,chr01_002479060
Chr01_02552514,chr01_002552514
Chr01_02552552,chr01_002552552
Chr01_02552573,chr01_002552573
Chr01_02659844,chr01_002659844
Chr01_02659894,chr01_002659894
Chr01_02701030,chr01_002701030
Chr01_02701177,chr01_002701177
Chr01_02701216,chr01_002701216
Chr01_02701217,chr01_002701217
Chr01_02749173,chr01_002749173
Chr01_02750096,chr01_002750096
Chr01_02977274,chr01_002977274
Chr01_02977285,chr01_002977285
Chr01_02977356,chr01_002977356
Chr01_02977411,chr01_002977411
Chr01_03092865,chr01_003092865
Chr01_03284498,chr01_003284498
Chr01_03422355,chr01_003422355
Chr01_04138065,chr01_004138065
Chr01_04138170,chr01_004138170
Chr01_04152821,chr01_004152821
Chr01_04152842,chr01_004152842
Chr01_04186267,chr01_004186267
Chr01_04186329,chr01_004186329
Chr01_04244686,chr01_004244686
Chr01_04522927,chr01_004522927
Chr01_05397257,chr01_005397257
Chr01_05647029,chr01_005647029
Chr01_05647196,chr01_005647196
Chr01_05681105,chr01_005681105
Chr01_05908846,chr01_005908846
Chr01_05908969,chr01_005908969
Chr01_06014561,chr01_006014561
Chr01_06014568,chr01_006014568
Chr01_06014664,chr01_006014664
Chr01_06128452,chr01_006128452
Chr01_06162681,chr01_006162681
Chr01_06162715,chr01_006162715
Chr01_06162733,chr01_006162733
Chr01_06162737,chr01_006162737
Chr01_06165162,chr01_006165162
Chr01_06165219,chr01_006165219
Chr01_06165235,chr01_006165235
Chr01_06426192,chr01_006426192
Chr01_06546394,chr01_006546394
Chr01_06546413,chr01_006546413
Chr01_06630067,chr01_006630067
Chr01_06718155,chr01_006718155
Chr01_06718243,chr01_006718243
Chr01_06718262,chr01_006718262
Chr01_06773129,chr01_006773129
Chr01_07386534,chr01_007386534
Chr01_07643666,chr01_007643666
Chr01_07643727,chr01_007643727
Chr01_07643733,chr01_007643733
Chr01_07643741,chr01_007643741
Chr01_07856610,chr01_007856610
chr01_08013059,chr01_008013059
Chr01_08028758,chr01_008028758
Chr01_08028790,chr01_008028790
Chr01_08186582,chr01_008186582
Chr01_08258331,chr01_008258331
Chr01_08258375,chr01_008258375
Chr01_08260218,chr01_008260218
Chr01_08260282,chr01_008260282
Chr01_08260320,chr01_008260320
Chr01_08379038,chr01_008379038
Chr01_08390494,chr01_008390494
Chr01_08390536,chr01_008390536
Chr01_08430160,chr01_008430160
Chr01_08430234,chr01_008430234
Chr01_08468099,chr01_008468099
Chr01_08468198,chr01_008468198
Chr01_08468208,chr01_008468208
Chr01_08468279,chr01_008468279
Chr01_08468286,chr01_008468286
Chr01_08514828,chr01_008514828
Chr01_08514882,chr01_008514882
Chr01_08716868,chr01_008716868
Chr01_09056051,chr01_009056051
Chr01_09108118,chr01_009108118
Chr01_09108119,chr01_009108119
Chr01_09121550,chr01_009121550
Chr01_09121636,chr01_009121636
Chr01_09159741,chr01_009159741
Chr01_09159801,chr01_009159801
Chr01_09212668,chr01_009212668
Chr01_09212708,chr01_009212708
Chr01_09212710,chr01_009212710
Chr01_09234526,chr01_009234526
Chr01_09400321,chr01_009400321
Chr01_09400411,chr01_009400411
Chr01_09400470,chr01_009400470
Chr01_09400509,chr01_009400509
Chr01_09400514,chr01_009400514
Chr01_09556567,chr01_009556567
Chr01_09556591,chr01_009556591
Chr01_09556596,chr01_009556596
Chr01_09564291,chr01_009564291
Chr01_09564360,chr01_009564360
Chr01_09596934,chr01_009596934
Chr01_09697854,chr01_009697854
Chr01_09840105,chr01_009840105
Chr01_09840109,chr01_009840109
Chr01_09840140,chr01_009840140
Chr01_09840147,chr01_009840147
Chr01_09840153,chr01_009840153
Chr01_09840218,chr01_009840218
Chr01_09840219,chr01_009840219
Chr01_09840234,chr01_009840234
Chr01_09898221,chr01_009898221
Chr01_09906648,chr01_009906648
Chr01_09906660,chr01_009906660
Chr01_09906675,chr01_009906675
Chr01_10565071,chr01_010565071
Chr01_10565264,chr01_010565264
Chr01_10565284,chr01_010565284
Chr01_10651550,chr01_010651550
Chr01_10670530,chr01_010670530
Chr01_10670558,chr01_010670558
Chr01_10987670,chr01_010987670
Chr01_10987715,chr01_010987715
Chr01_11095491,chr01_011095491
Chr01_11095525,chr01_011095525
Chr01_11400143,chr01_011400143
Chr01_11523011,chr01_011523011
Chr01_11638343,chr01_011638343
Chr01_12301670,chr01_012301670
Chr01_12381458,chr01_012381458
Chr01_12382003,chr01_012382003
Chr01_12382020,chr01_012382020
Chr01_12382028,chr01_012382028
Chr01_12382096,chr01_012382096
Chr01_12382131,chr01_012382131
Chr01_12382189,chr01_012382189
Chr01_12382200,chr01_012382200
Chr01_12382209,chr01_012382209
Chr01_12382212,chr01_012382212
Chr01_12668171,chr01_012668171
Chr01_12694249,chr01_012694249
Chr01_12694267,chr01_012694267
Chr01_12694280,chr01_012694280
Chr01_12694294,chr01_012694294
Chr01_12694335,chr01_012694335
Chr01_12694355,chr01_012694355
Chr01_12697575,chr01_012697575
Chr01_13009652,chr01_013009652
Chr01_13584471,chr01_013584471
Chr01_13584570,chr01_013584570
Chr01_14024643,chr01_014024643
Chr01_14024669,chr01_014024669
Chr01_14317195,chr01_014317195
Chr01_14317206,chr01_014317206
Chr01_14317369,chr01_014317369
Chr01_14370330,chr01_014370330
Chr01_14370339,chr01_014370339
Chr01_14370343,chr01_014370343
chr01_15173326,chr01_015173326
Chr01_15260368,chr01_015260368
Chr01_15534097,chr01_015534097
Chr01_15556074,chr01_015556074
Chr01_15556114,chr01_015556114
Chr01_16074913,chr01_016074913
Chr01_16169213,chr01_016169213
Chr01_16169273,chr01_016169273
Chr01_16169287,chr01_016169287
Chr01_16174641,chr01_016174641
Chr01_16174740,chr01_016174740
Chr01_16174797,chr01_016174797
Chr01_16918798,chr01_016918798
Chr01_17196294,chr01_017196294
Chr01_17196397,chr01_017196397
Chr01_17196423,chr01_017196423
Chr01_17481133,chr01_017481133
Chr01_17687057,chr01_017687057
Chr01_18666185,chr01_018666185
Chr01_18666325,chr01_018666325
Chr01_18734158,chr01_018734158
Chr01_18734260,chr01_018734260
Chr01_19297521,chr01_019297521
Chr01_19440627,chr01_019440627
Chr01_20084630,chr01_020084630
Chr01_21147142,chr01_021147142
Chr01_21506097,chr01_021506097
Chr01_21506207,chr01_021506207
Chr01_21509091,chr01_021509091
Chr01_21509151,chr01_021509151
Chr01_21509175,chr01_021509175
Chr01_22318355,chr01_022318355
Chr01_22318457,chr01_022318457
Chr01_22318519,chr01_022318519
Chr01_22460583,chr01_022460583
Chr01_22660951,chr01_022660951
